case_file_id,year,criminal_name,police_station,crime_type,case_details,keywords
827,2020,Virginia Burton,Temple Police Station,Fraud,Financial fraud case involving investment scam. Total financial loss estimated at ₹921284. Perpetrator used phishing techniques.,"financial crime, scam, money laundering, embezzlement, financial fraud"
192,2020,Emily Lowe,Temple Police Station,Drug Offense,Drug-related offense involving possession. Approximately 155 grams of cocaine seized. Arrest made through routine check.,"narcotics, drug possession, illegal substances, trafficking, controlled substances"
70,2020,Cassandra Morris,Traffic Police Station,Drug Offense,Drug-related offense involving trafficking. Approximately 402 grams of cannabis seized. Arrest made through informant tip.,"narcotics, drug possession, illegal substances, trafficking, controlled substances"
85,2021,Miss Lisa Cruz,Cheruthuruthy Police Station,Drug Offense,Drug-related offense involving possession. Approximately 500 grams of heroin seized. Arrest made through surveillance.,"narcotics, drug possession, illegal substances, trafficking, controlled substances"
461,2024,Darren Little,Chelakkara Police Station,Theft,Theft case involving residential property. Stolen items valued at ₹255771. Suspect identified through witness statement.,"theft, stolen property, burglary, robbery, valuables, breaking and entering"
669,2024,Roger Parker,Viyyur Police Station,Drug Offense,Drug-related offense involving distribution. Approximately 200 grams of cannabis seized. Arrest made through surveillance.,"narcotics, drug possession, illegal substances, trafficking, controlled substances"
854,2023,Nancy Henry,Medical College Police Station,Drug Offense,Drug-related offense involving possession. Approximately 158 grams of cocaine seized. Arrest made through routine check.,"narcotics, drug possession, illegal substances, trafficking, controlled substances"
846,2022,John Wagner,Vanitha Police Station,Fraud,Financial fraud case involving investment scam. Total financial loss estimated at ₹266322. Perpetrator used phishing techniques.,"financial crime, scam, money laundering, embezzlement, financial fraud"
607,2024,Laurie Anthony,Pazhayannur Police Station,Drug Offense,Drug-related offense involving possession. Approximately 367 grams of heroin seized. Arrest made through routine check.,"narcotics, drug possession, illegal substances, trafficking, controlled substances"
533,2024,Kelly Hall,Temple Police Station,Cybercrime,Sophisticated cybercrime investigation involving data breach. Targeted corporate network. Digital forensics reveal international origin.,"internet crime, hacking, digital security, online fraud, data theft"
662,2024,David Lamb,Vadakkekad Police Station,Fraud,Financial fraud case involving credit card. Total financial loss estimated at ₹826129. Perpetrator used social engineering techniques.,"financial crime, scam, money laundering, embezzlement, financial fraud"
92,2022,Virginia Powell,Town East Police Station,Cybercrime,Sophisticated cybercrime investigation involving ransomware. Targeted personal accounts. Digital forensics reveal local origin.,"internet crime, hacking, digital security, online fraud, data theft"
960,2023,Ashley Garrison,Nedupuzha Police Station,Assault,Assault incident at public place. Victim sustained minor injuries. Altercation triggered by alcohol.,"violence, physical attack, bodily harm, fight, aggression"
